Units		Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	BTU/lb	BTU/lb	
Method		ASTM E-1690-95	ASTM E-1755-95	ASTM E-1721-95 and T-250	ASTM E-1721-95 and LAP-004	ASTM E-1721-95	LAP-004	LAP-017	Scott 1979	ASTM E-1821-96 or E-1758-95	ASTM E-1821-96 or E-1758-95		ASTM E-1821-96 or E-1758-95	ASTM E-1821-96 or E-1758-95	LAP-016	By Summation	ASTM E-1821-96 or E-1758-95	ASTM E-1821-96 or E-1758-95		ASTM E-1755-95	Huffman 1	Huffman 1	AST D-537	By Difference	ASTM D-4239	ASTM E-1755-95	ASTM D-3172	ASTM D-3175	ASTM E-1755-95	ASTM D-2015 moisture free	ASTM D-2015 moisture free	
Samples	Variety	Extractives	Ash	Total Lignin	Total Lignin	Acid-Insoluble Lignin	Acid Soluble Lignin	Acetic acid	Uronic acids	Arabinan	Xylan	Mannan	Galactan	Glucan	Starch	Mass Closure	Cellulose	Hemicellulose [ASTM E-1821-96 or E-1758-95 %m]	Total Lignin	Ash	C	H	N	O	S	Ash	Fixed Carbon	Volatile Matter	Ash	HHV	LHV	Source
Eucalyptus	Saligna	4.15	1.22	26.91	NA	NA	NA	NA	4.07	0.3	10.42	1.23	0.74	48.07	NA	97.11	48.07	12.69	26.91	1.22	49.89	5.71	0.05	42.29	0.01	1.22	18.38	81.21	1.22	8384	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Eucalyptus	Saligna	0.62	0.62	27.8	NA	NA	NA	NA	4.21	0.4	11.85	1.09	1.07	50.27	NA	97.92	50.27	14.41	27.8	0.62	49.85	5.86	0.06	43.5	0.01	0.62	17.2	82.49	0.62	8429	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Eucalyptus	Saligna	0.8	0.59	27.83	NA	NA	NA	NA	4.17	0.45	12.21	0.9	0.88	49.05	NA	96.86	49.05	14.43	27.83	0.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Eucalyptus	Saligna	2.11	1.09	28.16	NA	NA	NA	NA	4.45	0.39	11.76	0.92	1.05	46.64	NA	96.58	46.64	14.13	28.16	1.09	49.49	6.27	0.5	41.98	0.04	1.09	18.99	79.47	1.09	8432	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	Caudina DN-34	6.54	1.57	24.28	NA	NA	NA	NA	1.36	0.75	13.37	2.02	0.89	41.05	NA	91.83	41.05	17.03	24.28	1.57	51.73	4.47	0.24	35.11	0.03	1.57	18.34	79.79	1.57	8431	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	Caudina DN-34	6.8	1.31	23.99	NA	NA	NA	NA	NA	1.1	14.18	1.85	0.92	40.52	NA	90.68	40.52	18.05	23.99	1.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	Caudina DN-34	2.31	2.43	26.64	NA	NA	NA	NA	3.11	1.19	16.95	1.42	0.7	42.86	NA	97.61	42.86	20.26	26.64	2.43	49.37	5.75	0.19	42.31	0.02	2.43	19.88	78.18	2.43	8405	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	Caudina DN-34	3.44	2.03	25.87	NA	NA	NA	NA	4.26	0.94	13	1.73	0.98	41.47	NA	93.73	41.47	16.65	25.87	2.03	49.88	6.03	0.22	41.16	0.03	2.03	18.82	79.45	2.03	8461	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	Caudina DN-34	4.81	1.92	24.96	NA	NA	NA	NA	4.6	0.77	12.83	2.18	0.84	41.18	NA	94.1	41.18	16.62	24.96	1.92	49.96	6.15	0.19	39.57	0.03	1.92	18.83	79.36	1.92	8439	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Hybrid Poplar	Caudina DN-34	2.51	1.94	28.05	NA	NA	NA	NA	4.69	0.67	14.52	1.99	0.83	41.13	NA	96.32	41.13	18.01	28.05	1.94	50.69	6.35	0.25	41.75	0.03	1.94	19.45	78.68	1.94	8491	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
