Units	Factor	Factor	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	kJ/g	kJ/g	Text
Class	Material	Entity	Fixed Carbon	Volatiles	Ash	C	H	O	N	S	Cl	HHV_meas	HHV_calc	Source
Agricultural	Straw	Wheat Straw fr. Oregon	17.06	78.62	4.32	46.96	5.69	42.41	0.43	0.19	0.14	16.68	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Agricultural	Straw	Wheat Straw fr. California	17.71	75.27	7.02	44.92	5.46	42	0.44	0.16	0.23	17.94	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Agricultural	Straw	Wheat Straw fr. Imperial	19.34	71.11	9.55	42.9	5.11	41.62	0.53	0.29	2.06	16.81	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Agricultural	"Hulls,Skins,Chaff"	Rice Hulls	16.22	63.52	20.26	38.83	4.75	35.59	0.52	0.05	0.12	15.84	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Agricultural	Straw	Rice Straw	15.86	65.47	18.67	38.24	5.2	36.84	0.87	0.18	0.58	18.89	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Energy Crop	Straw	Miscanthus Silberfeder	12.55	84.4	3.05	47.29	5.75	43.52	0.33	0.06	0.05	18.72	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Energy Crop	Straw	Sorghastrum Avenaceum	14.18	81.67	4.15	47.3	6.01	42.18	0.32	0.04	0.04	18.71	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Energy Crop	Straw	Miscanthus Sinensis Gracillimus	16.3	80.34	3.36	47.66	5.75	42.73	0.45	0.05	0.08	18.96	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Energy Crop	Straw	Arundo Bonax	16.38	80.19	3.43	47.06	5.84	42.95	0.6	0.12	0.2	18.85	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Agricultural	Fiber	Sugarcane Bagasse fr. Hawaii	11.95	85.61	2.44	48.64	5.87	42.85	0.16	0.04	0.03	18.99	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Energy Crop	Straw	Immature Bana Grass fr. Hawaii	16.68	73.44	9.88	45.06	5.42	38.69	0.84	0.11	0.83	17.52	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Energy Crop	Straw	Switchgrass Summer-MM fr. Minnesota	14.37	82.94	2.69	47.51	5.8	43.6	0.36	0.04	0.01	18.56	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Energy Crop	Straw	Switchgrass Dakota Leaf fr. Minnesota	15.03	81.36	3.61	47.45	5.75	42.37	0.74	0.08	0.03	18.64	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Energy Crop	Straw	Switchgrass fr. Columbus Ohio	14.34	76.69	8.97	46.68	5.82	37.57	0.77	0.19	0.19	18.06	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Wood	Willow SV1.3Yr	13.82	85.23	0.95	49.09	5.89	43.69	0.35	0.03	0	19.38	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Wood	Willow SV1.1Yr	13.99	84.91	1.1	47.94	5.84	44.43	0.63	0.06	0	19.36	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Wood	Willow SP3.1Yr	15.75	83.05	1.2	50.29	6.01	41.93	0.5	0.07	0	20.22	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Silvicultural	Wood	Willow SH3-1Yr	16.14	82.16	1.7	48.85	6.04	42.64	0.71	0.06	0.01	19.64	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
