Entity	Value	Units	Type	Source	Temperature
Hydrogen (gas) 	0.168	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Ice (0oC, 32oF) "	2.180	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Insulation materials 	0.035	W/mK	minimum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Insulation materials 	0.160	W/mK	maximum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Iridium 	147.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Iron	60.000	W/mK	range	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	225
Iron	68.000	W/mK	range	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	125
Iron 	80.000	W/mK	range	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Iron, cast "	55.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Iron, wrought "	59.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Kapok insulation 	0.034	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Kerosene 	0.150	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Lead Pb 	35.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Leather, dry "	0.140	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Limestone 	1.260	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Limestone 	1.330	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Magnesia insulation (85%) 	0.070	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Magnesite 	4.150	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Magnesium 	156.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Marble	2.080	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Marble 	2.940	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Mercury 	8.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Methane (gas) 	0.030	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Methanol 	0.210	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Mica 	0.710	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Mineral insulation materials, wool blankets .. "	0.040	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Mineral Wool	0.147	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	-16
Mineral Wool	0.323	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	21
Mineral Wool	0.514	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	56
Mineral Wool	0.736	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	90
Mineral Wool	1.021	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	125
Mineral Wool	1.307	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	160
Mineral Wool	1.642	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	193
Mineral Wool	1.958	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	224
Mineral Wool	2.275	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	255
Mineral Wool	2.687	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	283
Mineral Wool	3.065	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	312
Mineral Wool	3.413	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	340
Mineral Wool	3.795	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	369
Mineral Wool	4.208	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	395
Mineral Wool	4.622	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	421
Mineral Wool	5.035	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	447
Mineral Wool	5.448	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	471
Mineral Wool	5.892	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	498
Mineral Wool	6.305	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	523
Mineral Wool	6.749	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	545
Mineral Wool	7.194	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	567
Mineral Wool	7.665	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	590
Mineral Wool	8.114	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	611
Mineral Wool	8.558	W/mK	range	http://www.engineeringtoolbox.com/mineral-wool-insulation-k-values-d_815.html	633
Mineral Wool Insulation (9328K41)	0.230	Btu/hr. x in./sq. ft.	value	McMaster-Carr	24
Molybdenum 	138.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Monel 	26.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Nickel 	91.000	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
