Entity	Value	Units	Phase	Notes	Source
Hydrogen	143	MJ/kg	Gas	burned in air	http://en.wikipedia.org/wiki/Energy_density (http://www.gov.pe.ca/photos/original/dev_solutions.pdf)
Water at 100 m dam height	0.001	MJ/kg	Liquid		http://en.wikipedia.org/wiki/Energy_density
Methanol	19.7	MJ/kg	Liquid		http://en.wikipedia.org/wiki/Energy_density
Methanol	22.69	MJ/kg	Liquid		http://www.woodgas.com/proximat.htm
Ethanol	26.7	MJ/kg	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Ethanol	30	MJ/kg	Liquid		http://en.wikipedia.org/wiki/Energy_density
Ethanol	30.15	MJ/kg	Liquid		http://www.woodgas.com/proximat.htm
LBL Wood Oil	33.7	MJ/kg	Liquid		http://www.woodgas.com/proximat.htm
BOM Wood Oil	36.8	MJ/kg	Liquid		http://www.woodgas.com/proximat.htm
Biodiesel	37.8	MJ/kg	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Coke-oven Tar	38.2	MJ/kg	Liquid		http://www.woodgas.com/proximat.htm
Low Temp Tar	38.75	MJ/kg	Liquid		http://www.woodgas.com/proximat.htm
Diesel	42.8	MJ/kg	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Oil	43.5	MJ/kg	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Kerosene	46.5	MJ/kg	Liquid		http://www.woodgas.com/proximat.htm
Motor Gasoline	46.88	MJ/kg	Liquid		http://www.woodgas.com/proximat.htm
Gasoline	47.3	MJ/kg	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
n-octane	47.8	MJ/kg	Liquid		http://www.woodgas.com/proximat.htm
"Brown Kelp,Giant, Soquel Point"	10.75	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
"Agricultural Residues, Various Moisture"	13.5	MJ/kg	Solid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Water Hyacinth (Florida)	14.86	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Rice Hulls	14.89	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
"Wood, Air Dry, 20% Moisture"	15	MJ/kg	Solid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Dry cowdung and cameldung	15.5	MJ/kg	Solid		http://en.wikipedia.org/wiki/Energy_density (http://home.hccnet.nl/david.dirkse/math/energy.html)
Cotton Gin Trash	16.42	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
MSW	16.5	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
"Coal, lignite/sub-bituminous"	17	MJ/kg	Solid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Sugarcane Bagasse	17.33	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Sudan Grass	17.39	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Wheat Straw	17.5	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Wheat Straw	17.51	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Corn Stover	17.65	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
RDF	17.7	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Corrugated Paper	17.9	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Corn Stover	18.05	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
"Hulls, Shells, Prunings"	18.15	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Cotton Stalk	18.26	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Sugarcane Bagasse	18.35	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Other Grasses	18.4	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Switchgrass	18.55	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Casuarina	18.77	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Corncobs	18.77	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Miscanthus	18.85	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Plywood	18.96	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Willow	19.15	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Mango Wood	19.17	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Red Alder	19.3	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Hybrid Poplar	19.35	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Poplar	19.38	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Bamboo	19.4	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
White Oak	19.42	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Eucalyptus Camaldulensis	19.42	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Eucalyptus	19.45	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Madrone	19.51	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Hardwood Wood	19.65	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Black Locust	19.7	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Black Locust	19.71	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Black Walnut Prunings	19.83	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Softwood Wood	19.85	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
White Fir	19.95	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Maple	19.96	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
"Wood Pellets, 0% MC"	20	MJ/kg	Solid	"accounting for moisture content, HHV assumed"	http://gekgasifier.pbworks.com/Multi-fuel+Run+Comparison
"Softwood Chips, 0% MC"	20	MJ/kg	Solid	"accounting for moisture content, HHV assumed"	http://gekgasifier.pbworks.com/Multi-fuel+Run+Comparison
"Wood, Bone Dry"	20	MJ/kg	Solid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Almond Prunings	20.01	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Ponderosa Pine	20.02	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Western Hemlock	20.05	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Pine Needles	20.12	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Hickory	20.17	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Walnut Shells	20.18	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Beech	20.38	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Poplar	20.75	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Peach Pits	20.82	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Newspaper	20.95	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Redwood	21.03	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Douglas Fir	21.05	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Loblolly Pine Bark	21.78	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
"Walnut Shells, 0% MC"	22	MJ/kg	Solid	"accounting for moisture content, HHV assumed"	http://gekgasifier.pbworks.com/Multi-fuel+Run+Comparison
"Peat, S-H3"	22	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Douglas Fir Bark	22.1	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Yellow Pine	22.3	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Oak Char (565C)	23.05	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Casuarina Char (950C)	27.12	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Waxed Cartons	27.3	MJ/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Eucalyptus char (950C)	27.6	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
"Coal, bituminous/anthracite"	28.5	MJ/kg	Solid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
charcoal	30	MJ/kg	Solid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Coconut Shell Char (750C)	31.12	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Coal - Pittsburgh Seam	31.75	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Charcoal	34.39	MJ/kg	Solid		http://www.woodgas.com/proximat.htm
Low Energy Gas	0.0034	MJ/L	Gas	"Producer Gas, Low BTU Gas from Blast Furnace, Water Gas Process"	"T. Reed, 1979"
Low Energy Gas	0.0066	MJ/L	Gas	Generator Gas from Air Gasification	"T. Reed, 1979"
Hydrogen	0.01079	MJ/L	Gas	burned in air	http://en.wikipedia.org/wiki/Energy_density (http://www.gov.pe.ca/photos/original/dev_solutions.pdf)
Medium Energy Gas	0.0151	MJ/L	Gas	"Town Gas, Syngas from Oxygen Gasification, Pyrolysis Gasification"	"T. Reed, 1979"
Biogas	0.0245	MJ/L	Gas	from Anaerobic Digestion	"T. Reed, 1979"
Natural gas	0.0364	MJ/L	Gas	(burned in air)	http://en.wikipedia.org/wiki/Energy_density
High Energy Gas	0.0377	MJ/L	Gas	Natural Gas from Oil/Gas Wells	"T. Reed, 1979"
